id,standard,alternative,english
1516,Leason,,Leason
1517,Lecwydd,,Leckwith
1518,Leechpool,,Leechpool
1519,Leonardston,,Leonardston
1520,Leweston,,Leweston
1521,Lewistown,,Lewistown
1522,Libanus,,Libanus
1523,Licswm,,Licswm
1524,Liddeston,,Liddeston
1525,"Lightwood Green",,"Lightwood Green"
1526,Limeslade,,Limeslade
1527,"Little Acton",,"Little Acton"
1528,"Little Arowry",,"Little Arowry"
1529,"Little Green",,"Little Green"
1530,"Little Honeyborough",,"Little Honeyborough"
1531,"Little Mancot",,"Little Mancot"
1532,"Little Milford",,"Little Milford"
1533,"Little Mill",,"Little Mill"
1534,"Little Mountain",,"Little Mountain"
1535,"Little Overton",,"Little Overton"
1536,"Little Reynoldston",,"Little Reynoldston"
1537,Llaethdy,,Llaethdy
1538,Llai,,Llay
1539,Llain-goch,,Llain-goch
1540,Llam-march,,Llam-march
1541,"Llan Ffestiniog",,"Llan Ffestiniog"
1542,Llanaber,,Llanaber
1543,Llanaelhaearn,,Llanaelhaearn
1544,Llanafan,,Llanafan
1545,Llanafan-fawr,,Llanafan-fawr
1546,Llanallgo,,Llanallgo
1547,Llanandras,,Presteigne
1548,Llananno,,Llananno
1549,Llanarfan,,"St Arvans"
1550,Llanarmon,,Llanarmon
1551,"Llanarmon Dyffryn Ceiriog",,"Llanarmon Dyffryn Ceiriog"
1552,"Llanarmon Mynydd Mawr",,"Llanarmon Mynydd Mawr"
1553,Llanarmon-yn-Iâl,,Llanarmon-yn-Iâl
1554,Llan-arth,,Llan-arth
1555,Llanarthne,,Llanarthne
1556,Llanasa,,Llanasa
1557,Llanbabo,,Llanbabo
1558,"Llanbadarn Fawr",,"Llanbadarn Fawr"
1559,"Llanbadarn Fynydd",,"Llanbadarn Fynydd"
1560,Llanbadarn-y-garreg,,Llanbadarn-y-garreg
1561,Llanbadog,,Llanbadog
1562,Llanbadrig,,Llanbadrig
1563,Llanbedr,,Llanbedr
1564,Llanbedr,,Llanbedr
1565,Llanbedr,,Llanbedr
1566,"Llanbedr Dyffryn Clwyd",,"Llanbedr Dyffryn Clwyd"
1567,"Llanbedr Felffre",,"Lampeter Velfrey"
1568,"Llanbedr Pont Steffan",,Lampeter
1569,"Llanbedr Ystrad Yw",,"Llanbedr Ystrad Yw"
1570,Llanbedr-goch,,Llanbedr-goch
1571,Llanbedrog,,Llanbedrog
1572,Llanbedrycennin,,Llanbedrycennin
1573,Llanbedr-y-fro,,Peterston-super-Ely
1574,Llanberis,,Llanberis
1575,Llanbister,,Llanbister
1576,Llanboidy,,Llanboidy
1577,Llanbradach,,Llanbradach
1578,Llanbrynmair,,Llanbrynmair
1579,Llanbydderi,,Llanbethery
1580,Llancaeach,,Llancaeach
1581,Llancaeo,,Llancaeo
1582,Llancarfan,,Llancarfan
1583,Llancatal,,Llancadle
1584,Llancowrid,,Llancowrid
1585,Llandaf,,Llandaf
1586,Llandafal,,Llandafal
1587,Llandanwg,,Llandanwg
1588,Llandarcy,,Llandarcy
1589,Llan-dawg,,Llan-dawg
1590,Llanddaniel-fab,,Llanddaniel-fab
1591,Llanddarog,,Llanddarog
1592,Llanddeiniol,,Llanddeiniol
1593,Llanddeiniolen,,Llanddeiniolen
1594,Llandderfel,,Llandderfel
1595,Llanddeusant,,Llanddeusant
1596,Llanddeusant,,Llanddeusant
1597,Llan-ddew,,Llan-ddew
1598,Llanddewi,,Llanddewi
1599,"Llanddewi Brefi",,"Llanddewi Brefi"
1600,"Llanddewi Fach",,"Llanddewi Fach"
1601,"Llanddewi Felffre",,"Llanddewi Velfrey"
1602,"Llanddewi Nant Hodni",,Llanthony
1603,"Llanddewi Rhydderch",,"Llanddewi Rhydderch"
1604,"Llanddewi Ysgyryd",,"Llanddewi Skirrid"
1605,"Llanddewi Ystradenni",,"Llanddewi Ystradenni"
1606,Llanddewi’r-cwm,,Llanddewi’r-cwm
1607,Llanddingad,,Dingestow
1608,Llanddinol,,Itton
1609,Llanddoged,,Llanddoged
1610,Llanddona,,Llanddona
1611,Llanddowror,,Llanddowror
1612,Llanddulas,,Llanddulas
1613,Llanddunwyd,,"Welsh St Donats"
1614,Llanddyfnan,,Llanddyfnan
1615,Llandecwyn,,Llandecwyn
1616,Llandegfan,,Llandegfan
1617,Llandegfedd,,Llandegfedd
1618,Llandegla,,Llandegla
1619,Llandeglau,,Llandegley
1620,Llandeilo,,Llandeilo
1621,Llandeilo,,Llandeilo
1622,"Llandeilo Bertholau",,"Llantilio Pertholey"
1623,"Llandeilo Ferwallt",,Bishopston
1624,"Llandeilo Graban",,"Llandeilo Graban"
1625,"Llandeilo Gresynni",,"Llantilio Crossenny"
1626,Llandeilo'r-fân,,Llandeilo'r-fân
1627,Llandenni,,Llandenni
1628,"Llandenni Walks",,"Llandenni Walks"
1629,Llandevaud,,Llandevaud
1630,Llandevenny,,Llandevenny
1631,Llandinam,,Llandinam
1632,Llandochau,,Llandough
1633,Llandochau,,Llandough
1634,Llandogo,,Llandogo
1635,"Llandre ","Llanfihangel Genau’r-glyn","Llandre "
1636,Llandridian,,Llandridian
1637,Llandrillo-yn-Rhos,,Rhos-on-Sea
1638,Llandrindod,,"Llandrindod Wells"
1639,Llandrinio,,Llandrinio
1640,Llandrygarn,,Llandrygarn
1641,Llandudno,,Llandudno
1642,Llandudoch,,"St Dogmaels"
1643,Llandudwg,,Tythegston
1644,"Llandŵ ",,Llandow
1645,Llandwrog,,Llandwrog
1646,Llandybïe,,Llandybïe
1647,Llandyfaelog,,Llandyfaelog
1648,"Llandyfaelog Fach",,"Llandyfaelog Fach"
1649,"Llandyfaelog Tre'r-graig",,"Llandyfaelog Tre'r-graig"
1650,Llandyfái,,Lamphey
1651,Llandyfalle,,Llandyfalle
1652,Llandyfân,,Llandyfân
1653,Llandyfrïog,,Llandyfrïog
1654,Llandyfrydog,,Llandyfrydog
1655,Llandygái,,Llandygái
1656,Llandygwydd,,Llandygwydd
1657,Llandynnan,,Llandynnan
1658,Llandyrnog,,Llandyrnog
1659,Llandyry,,Llandyry
1660,Llandysilio,,"Four Crosses"
1661,Llandysilio,,Llandysilio
1662,Llandysul,,Llandysul
1663,Llandysul,,Llandysul
1664,Llanedern,Llanedeyrn,Llanedern
1665,Llanedi,,Llanedi
1666,Llanedwen,,Llanedwen
1667,Llanefydd,,Llanefydd
1668,Llaneglwys,,Llaneglwys
1669,Llanegryn,,Llanegryn
1670,Llanegwad,,Llanegwad
1671,Llaneilian,,Llaneilian
1672,Llaneirwg,,"St Mellons"
1673,Llanelen,,Llanelen
1674,Llanelian-yn-Rhos,,Llanelian-yn-Rhos
1675,Llanelidan,,Llanelidan
1676,Llanelli,,Llanelli
1677,"Llanelli Hill",,"Llanelli Hill"
1678,Llanelltud,,Llanelltud
1679,Llanelwedd,,Llanelwedd
1680,Llanelwy,,"St Asaph"
1681,Llanenddwyn,,Llanenddwyn
1682,Llanengan,,Llanengan
1683,Llanerfyl,,Llanerfyl
1684,Llaneuddog,,Llaneuddog
1685,Llaneugrad,,Llaneugrad
1686,Llaneurgain,,Northop
1687,Llanfable,,Llanvapley
1688,Llanfabon,,Llanfabon
1689,Llan-fach,,Llan-fach
1690,Llanfaches,,Llanfaches
1691,Llanfachraeth,,Llanfachraeth
1692,Llanfachreth,,Llanfachreth
1693,Llanfaelog,,Llanfaelog
1694,Llanfaenor,,Llanfaenor
1695,Llan-faes,,Llan-faes
1696,Llan-faes,,Llan-faes
1697,Llan-faes,,Llanmaes
1698,Llanfaethlu,,Llanfaethlu
1699,Llanfaglan,,Llanfaglan
1700,Llanfair,,Llanfair
1701,Llan-fair,,"St Mary Church"
1702,"Llanfair Caereinion",,"Llanfair Caereinion"
1703,"Llanfair Cilgedin",,"Llanfair Kilgeddin"
1704,"Llanfair Clydogau",,"Llanfair Clydogau"
1705,"Llanfair Disgoed",,"Llanfair Disgoed"
1706,"Llanfair Dyffryn Clwyd",,"Llanfair Dyffryn Clwyd"
1707,"Llanfair Llythynwg",,Gladestry
1708,"Llanfair Mathafarn Eithaf",,"Llanfair Mathafarn Eithaf"
1709,"Llanfair Nant-gwyn",,"Llanfair Nant-gwyn"
1710,"Llanfair Pwllgwyngyll",,"Llanfair Pwllgwyngyll"
1711,"Llanfair Talhaearn",,"Llanfair Talhaearn"
1712,Llanfairfechan,,Llanfairfechan
1713,Llanfair-y-Cwmwd,,Llanfair-y-Cwmwd
1714,Llanfair-ym-Muallt,,"Builth Wells"
1715,Llanfair-yng-Nghornwy,,Llanfair-yng-Nghornwy
1716,Llanfair-yn-Neubwll,,Llanfair-yn-Neubwll
1717,Llanfallteg,,Llanfallteg
1718,Llanfaredd,,Llanfaredd
1719,Llanfarian,,Llanfarian
1720,Llanfarthin,,Llanmartin
1721,Llanfechain,,Llanfechain
1722,Llanfechell,,Llanfechell
1723,Llanfellte,,Llanfellte
1724,Llanferres,,Llanferres
1725,Llanfeuthin,,Llanvithyn
1726,Llanffa,,Llampha
1727,Llan-ffwyst,,Llanfoist
1728,Llanfigel,,Llanfigel
1729,"Llanfihangel Crucornau",,"Llanfihangel Crucornau"
1730,"Llanfihangel Cwm Du",Cwm-du,"Llanfihangel Cwm Du"
1731,"Llanfihangel Dinsylwy",,"Llanfihangel Dinsylwy"
1732,"Llanfihangel Dyffryn Arwy",,Michaelchurch-on-Arrow
1733,"Llanfihangel Glyn Myfyr",,"Llanfihangel Glyn Myfyr"
1734,"Llanfihangel Gobion",,"Llanfihangel Gobion"
1735,"Llanfihangel Helygen",,"Llanfihangel Helygen"
1736,"Llanfihangel Nant Brân",,"Llanfihangel Nant Brân"
1737,"Llanfihangel Nant Melan",,"Llanfihangel Nant Melan"
1738,"Llanfihangel Penbedw",,"Llanfihangel Penbedw"
1739,"Llanfihangel Pont-y-moel",,"Llanfihangel Pont-y-moel"
1740,"Llanfihangel Rhydieithon",,"Llanfihangel Rhydieithon"
1741,"Llanfihangel Rogiet",,"Llanfihangel Rogiet"
1742,"Llanfihangel Tal-y-llyn",,"Llanfihangel Tal-y-llyn"
1743,"Llanfihangel Torymynydd",,"Llanfihangel Torymynydd"
1744,"Llanfihangel Tre'r-beirdd",,"Llanfihangel Tre'r-beirdd"
1745,"Llanfihangel Troddi",,"Mitchel Troy"
1746,"Llanfihangel y Bont-faen",,Llanmihangel
1747,"Llanfihangel Ysgeifiog",,"Llanfihangel Ysgeifiog"
1748,"Llanfihangel Ystum Llewern",,"Llanfihangel Ystum Llewern"
1749,Llanfihangel-ar-arth,,Llanfihangel-ar-arth
1750,Llanfihangel-ar-Elái,,Michaelston-super-Ely
1751,Llanfihangel-uwch-Gwili,,Llanfihangel-uwch-Gwili
1752,Llanfihangel-y-Creuddyn,,Llanfihangel-y-Creuddyn
1753,Llanfihangel-y-fedw,,Michaelston-y-fedw
1754,Llanfihangel-yng-Ngwynfa,,Llanfihangel-yng-Ngwynfa
1755,Llanfihangel-y-Pennant,,Llanfihangel-y-Pennant
1756,Llanfihangel-y-Pennant,,Llanfihangel-y-Pennant
1757,Llanfihangel-y-pwll,,Michaelston-le-Pit
1758,Llanfilo,,Llanfilo
1759,Llanfleiddan,,Llanblethian
1760,Llanfocha,,"St Maughans"
1761,Llanfor,,Llanfor
1762,Llanfrechfa,,Llanfrechfa
1763,Llanfrothen,,Llanfrothen
1764,Llanfrynach,,Llanfrynach
1765,Llanfwrog,,Llanfwrog
1766,Llanfwrog,,Llanfwrog
1767,Llanfyllin,,Llanfyllin
1768,Llanfynydd,,Llanfynydd
1769,Llanfynydd,,Llanfynydd
1770,Llanfyrnach,,Llanfyrnach
1771,Llangadfan,,Llangadfan
1772,Llangadog,,Llangadog
1773,Llangadog,,Llangadog
1774,Llangadwaladr,,Llangadwaladr
1775,Llangaffo,,Llangaffo
1776,Llan-gain,,Llan-gain
1777,Llangamarch,,"Llangamarch Wells"
1778,Llanganna,,Llangan
1779,"Llangasty Tal-y-llyn",,"Llangasty Tal-y-llyn"
1780,Llangathen,,Llangathen
1781,Llangatwg,,Llangattock
1782,"Llangatwg Dyffryn Wysg",,"Llangattock nigh Usk"
1783,"Llangatwg Feibion Afel",,"Llangatwg Feibion Afel"
1784,"Llangatwg Lingoed",,"Llangatwg Lingoed"
1785,Llangedwyn,,Llangedwyn
1786,Llangefni,,Llangefni
1787,Llangeinwen,,Llangeinwen
1788,Llangeinwyr,,Llangeinor
1789,Llangeitho,,Llangeitho
1790,Llangeler,,Llangeler
1791,Llangelynnin,,Llangelynnin
1792,Llangennech,,Llangennech
1793,Llangenni,,Llangenni
1794,Llangernyw,,Llangernyw
1795,Llangewydd,,Llangewydd
1796,Llangïan,,Llangïan
1797,Llangiwa,,Llangiwa
1798,Llan-giwg,,Llan-giwg
1799,Llangloffan,,Llangloffan
1800,Llanglydwen,,Llanglydwen
1801,Llangoed,,Llangoed
1802,Llangoedmor,,Llangoedmor
1803,Llangofan,,Llangofan
1804,Llangollen,,Llangollen
1805,Llangolman,,Llangolman
1806,Llan-gors,,Llan-gors
1807,Llangorwen,,Llangorwen
1808,Llangrallo,,Coychurch
1809,Llangrannog,,Llangrannog
1810,Llangristiolus,,Llangristiolus
1811,Llangurig,,Llangurig
1812,Llangwm,,Llangwm
1813,Llangwm,,Llangwm
1814,Llangwm,,Llangwm
1815,Llan-gwm,,Llan-gwm
1816,Llangwnnadl,,Llangwnnadl
1817,Llangwyfan,,Llangwyfan
1818,Llangwyfan,,Llangwyfan
1819,Llangwyllog,,Llangwyllog
1820,Llangwyryfon,,Llangwyryfon
1821,Llangybi,,Llangybi
1822,Llangybi,,Llangybi
1823,Llangybi,,Llangybi
1824,Llangyfelach,,Llangyfelach
1825,Llangyndeyrn,,Llangyndeyrn
1826,Llangynfelyn,,Llangynfelyn
1827,Llangynhafal,,Llangynhafal
1828,Llangynidr,,Llangynidr
1829,Llangynin,,Llangynin
1830,Llangynllo,,Llangynllo
1831,Llangynnwr,,Llangynnwr
1832,Llangynog,,Llangynog
1833,Llangynog,,Llangynog
1834,Llangynwyd,,Llangynwyd
1835,Llangynydd,,Llangennith
1836,Llangynyw,,Llangynyw
1837,Llangystennin,,Llangystennin
1838,Llangywer,,Llangywer
1839,Llanhamlach,,Llanhamlach
1840,Llanharan,,Llanharan
1841,Llanhari,,Llanharry
1842,Llanhenwg,,Llanhenwg
1843,Llanhiledd,,Llanhilleth
1844,Llanhuadain,,Llawhaden
1845,Llanhywel,,Llanhywel
1846,Llanidan,,Llanidan
1847,Llanidloes,,Llanidloes
1848,Llaniestyn,,Llaniestyn
1849,Llaniestyn,,Llaniestyn
1850,Llanigon,,Llanigon
1851,Llanilar,,Llanilar
1852,Llanilid,,Llanilid
1853,"Llanilltud Faerdref",,"Llantwit Fardre"
1854,"Llanilltud Fawr",,"Llantwit Major"
1855,"Llanilltud Gŵyr",,Ilston
1856,Llanio,,Llanio
1857,Llanion,,Llanion
1858,Llanisan-yn-Rhos,,"St Ishmaels"
1859,Llanisien,,Llanisien
1860,Llanisien,,Llanishen
1861,Llaniwared,,Llaniwared
1862,Llanllawddog,,Llanllawddog
1863,Llanllawer,,Llanllawer
1864,Llanllechid,,Llanllechid
1865,Llanlleiana,,Llanlleiana
1866,Llanllugan,,Llanllugan
1867,Llan-llwch,,Llan-llwch
1868,Llanllwchaearn,,Llanllwchaearn
1869,Llanllwni,,Llanllwni
1870,Llanllyfni,,Llanllyfni
1871,Llanllŷr,,Llanyre
1872,Llanllywel,,Llanllywel
1873,Llan-lwy,,Llandeloy
1874,Llanmadog,,Llanmadog
1875,Llanmerewig,,Llanmerewig
1876,Llanmill,,Llanmill
1877,Llanmilo,,Llanmilo
1878,Llanmorlais,,Llanmorlais
1879,Llannarth,,Llannarth
1880,"Llannerch Aeron",,"Llannerch Aeron"
1881,"Llannerch Banna",,Penley
1882,"Llannerch Emrys",,"Llannerch Emrys"
1883,Llannerchfydaf,,Llannerchfydaf
1884,Llannerch-y-medd,,Llannerch-y-medd
1885,Llannerch-y-môr,,Llannerch-y-môr
1886,Llannewydd,,Newchurch
1887,Llannewydd,,Newchurch
1888,Llan-non,,Llan-non
1889,Llan-non,,Llan-non
1890,Llannor,,Llannor
1891,Llanofer,,Llanofer
1892,"Llanofer Uchaf",,"Upper Llanofer"
1893,Llanpumsaint,,Llanpumsaint
1894,Llanreath,,Llanreath
1895,Llanrhaeadr-ym-Mochnant,,Llanrhaeadr-ym-Mochnant
1896,Llanrhaeadr-yng-Nghinmeirch,,Llanrhaeadr-yng-Nghinmeirch
1897,Llanrhian,,Llanrhian
1898,Llanrhidian,,Llanrhidian
1899,Llan-rhos,,Llan-rhos
1900,Llanrhuddlad,,Llanrhuddlad
1901,Llanrhychwyn,,Llanrhychwyn
1902,Llanrhymni,,Llanrumney
1903,Llanrhystud,,Llanrhystud
1904,Llanrug,,Llanrug
1905,Llanrwst,,Llanrwst
1906,Llansadwrn,,Llansadwrn
1907,Llansadwrn,,Llansadwrn
1908,Llansadyrnin,,Llansadyrnin
1909,Llan-saint,,Llan-saint
1910,Llansamlet,,Llansamlet
1911,Llansanffraid,,Llansanffraid
1912,Llansanffraid,,Llansanffraid
1913,"Llansanffraid Cwmteuddwr",,"Llansanffraid Cwmteuddwr"
1914,"Llansanffraid Glan Conwy",,"Llansanffraid Glan Conwy"
1915,"Llansanffraid Gwynllŵg",,"St Brides Wentloog"
1916,Llansanffraid-ar-Elái,,"St Brides-super-Ely"
1917,Llansanffraid-ym-Mechain,,Llansanffraid-ym-Mechain
1918,Llansannan,,Llansannan
1919,Llansansiôr,,"St George"
1920,Llansanwyr,,Llansannor
1921,Llansawel,,Llansawel
1922,Llansawel,,"Briton Ferry"
1923,Llansbyddid,,Llansbyddid
1924,Llansilin,,Llansilin
1925,Llan-soe,,Llan-soe
1926,Llanstadwel,,Llanstadwel
1927,Llansteffan,,Llansteffan
1928,Llansteffan,,Llansteffan
1929,Llantarnam,,Llantarnam
1930,Llanteems,,Llanteems
1931,Llantriddyd,,Llantriddyd
1932,Llantrisant,,Llantrisant
1933,Llantrisant,,Llantrisant
1934,Llantrisant,,Llantrisant
1935,Llanuwchllyn,,Llanuwchllyn
1936,Llanwarw,,Wonastow
1937,Llanwddyn,,Llanwddyn
1938,Llanwenarth,,Llanwenarth
1939,Llanwenog,,Llanwenog
1940,Llan-wern,,Llan-wern
1941,Llanwinio,,Llanwinio
1942,Llanwnda,,Llanwnda
1943,Llanwnda,,Llanwnda
1944,Llanwnnen,,Llanwnnen
1945,Llanwnnog,,Llanwnnog
1946,Llanwrda,,Llanwrda
1947,Llanwrin,,Llanwrin
1948,Llanwrthwl,,Llanwrthwl
1949,Llanwrtyd,,"Llanwrtyd Wells"
1950,Llanwyddelan,,Llanwyddelan
1951,Llanwynell,,Wolvesnewton
1952,Llanwynno,,Llanwynno
1953,Llanwytherin,,Llanvetherine
1954,Llan-y-bri,,Llan-y-bri
1955,Llanybydder,,Llanybydder
1956,Llan-y-cefn,,Llan-y-cefn
1957,Llanychâr,,Llanychâr
1958,Llanycil,,Llanycil
1959,Llan-y-crwys,,Llan-y-crwys
1960,Llanymawddwy,,Llanymawddwy
1961,Llanymddyfri,,Llandovery
1962,Llanymynech,,Llanymynech
1963,Llanynghenedl,,Llanynghenedl
1964,Llanynys,,Llanynys
1965,Llan-y-pwll,,Llan-y-pwll
1966,Llanyrafon,,Llanyrafon
1967,Llanystumdwy,,Llanystumdwy
1968,Llan-y-tair-mair,,Knelston
1969,Llan-y-wern,,Llan-y-wern
1970,Llawr-y-glyn,,Llawr-y-glyn
1971,Llecheiddior,,Llecheiddior
1972,Llechgynfarwy,,Llechgynfarwy
1973,Llechryd,,Llechryd
1974,Llechryd,,Llechryd
1975,Llechylched,,Llechylched
1976,Lledrod,,Lledrod
1977,Lledrod,,Lledrod
1978,Llethryd,,Llethryd
1979,Lletybrongu,,Lletybrongu
1980,Llidiadnennog,,Llidiadnennog
1981,Llidiard,,Litchard
1982,Llidiardau,,Llidiardau
1983,"Llidiart Annie",,"Llidiart Annie"
1984,"Llidiart y Barwn",,"Llidiart y Barwn"
1985,Llidiart-y-parc,,Llidiart-y-parc
1986,Llithfaen,,Llithfaen
1987,Lloc,,Lloc
1988,Llong,,Llong
1989,Llowes,,Llowes
1990,Llundain-fach,,Llundain-fach
1991,Llwydcoed,,Llwydcoed
1992,Llwynbedw,,Birchgrove
1993,Llwyncelyn,,Hollybush
1994,Llwyncelyn,,Llwyncelyn
1995,Llwyncelyn,,Llwyncelyn
1996,Llwyncelyn,,Llwyncelyn
1997,Llwyncelyn,,Llwyncelyn
1998,Llwyndafydd,,Llwyndafydd
1999,Llwynderw,,Llwynderw
2000,Llwyn-drain,,Llwyn-drain
2001,Llwyn-du,,Llwyn-du
2002,Llwyndyrys,,Llwyndyrys
2003,Llwyneinion,,Llwyneinion
2004,Llwyneliddon,,"St Lythans"
2005,Llwyn-gwern,,Llwyn-gwern
2006,Llwyngwril,,Llwyngwril
2007,Llwynhelyg,,Withybush
2008,Llwynhendy,,Llwynhendy
2009,Llwynhudol,,Llwynhudol
2010,Llwyni,,Lloyney
2011,Llwyn-mawr,,Llwyn-mawr
2012,Llwyn-onn,,Llwyn-onn
2013,Llwyn-onn,,Llwyn-onn
2014,Llwyn-teg,,Llwyn-teg
2015,Llwyn-y-brain,,Llwyn-y-brain
2016,Llwyn-y-gog,,Llwyn-y-gog
2017,Llwyn-y-groes,,Llwyn-y-groes
2018,Llwynypia,,Llwynypia
2019,Llwyn-yr-hwrdd,,Llwyn-yr-hwrdd
2020,Llynfaes,,Llynfaes
2021,Llynpenmaen,,Penmaen-pŵl
2022,Llysfaen,,Llysfaen
2023,Llys-faen,,Lisvane
2024,Llys-wen,,Llys-wen
2025,Llyswyrny,,Llysworney
2026,Llyswyry,,Lliswerry
2027,Llys-y-frân,,Llys-y-frân
2028,Llywel,,Llywel
2029,Llywernog,,Llywernog
2030,"Lock's Common",,"Lock's Common"
2031,Loggerheads,,Loggerheads
2032,Login,,Login
2033,Lôn-las,,Lôn-las
2034,Loveston,,Loveston
2035,"Lower Common",,"Lower Common"
2036,"Lower Freystrop",,"Lower Freystrop"
2037,Lowlands,,Lowlands
2038,Lunnon,,Lunnon
2039,Lydart,,Lydart
2040,Lydstep,,Lydstep
2041,Machen,,Machen
2042,"Machen Isaf",,"Lower Machen"
2043,Machroes,,Machroes
2044,Machynlleth,,Machynlleth
2045,Machynys,,Machynys
2046,"Maddox Moor",,"Maddox Moor"
2047,Maelienydd,,Maelienydd
2048,Maenaddwyn,,Maenaddwyn
2049,Maenan,,Maenan
2050,Maenclochog,,Maenclochog
2051,Maendy,,Maendy
2052,Maendy,,Maendy
2053,"Y Maendy",,Maindy
2054,Maenlle-gwaun,,Maenlle-gwaun
2055,Maenofferen,,Maenofferen
2056,Maenorbŷr,,Manorbier
2057,Maenordeilo,,Maenordeilo
2058,Maentwrog,,Maentwrog
2059,Maen-y-groes,,Maen-y-groes
2060,Maerdy,,Maerdy
2061,Maerdy,,Maerdy
2062,Maerdy,,Maerdy
2063,Maerun,,Marshfield
2064,Maesgeirchen,,Maesgeirchen
2065,Maes-glas,,Greenfield
2066,Maes-glas,,Maes-glas
2067,Maesglasau,,Maesglasau
2068,Maes-hafn,,Maes-hafn
2069,Maes-llyn,,Maes-llyn
2070,Maes-mawr,,Maes-mawr
2071,Maesmynys,,Maesmynys
2072,Maesteg,,Maesteg
2073,Maes-y-bont,,Maes-y-bont
2074,Maes-y-coed,,Maes-y-coed
2075,Maes-y-coed,,Woodfieldside
2076,Maesycrugiau,,Maesycrugiau
2077,Maesycrugiau,,Maesycrugiau
2078,Maesycwmwr,,Maesycwmer
2079,Maes-y-dre,,Maes-y-dre
2080,Maesyfed,,"New Radnor"
2081,Maesyffynnon,,Springfield
2082,Maesygwartha,,Maesygwartha
2083,Maesymeillion,,Maesymeillion
2084,Maesyronnen,,Maesyronnen
2085,Magwyr,,Magor
2086,"Maiden Wells",,"Maiden Wells"
2087,Malltraeth,,Malltraeth
2088,Mallwyd,,Mallwyd
2089,Malpas,,Malpas
2090,Mamheilad,,Mamheilad
2091,Manafon,,Manafon
2092,Man-moel,,Man-moel
2093,Manod,,Manod
2094,"Manorbier Newton",,"Manorbier Newton"
2095,Manorowen,,Manorowen
2096,Manselfield,,Manselfield
2097,Marchwiel,,Marchwiel
2098,Marcroes,,Marcross
2099,Marford,,Marford
2100,Margam,,Margam
2101,Marian,,Marian
2102,"Marian Cwm",,"Marian Cwm"
2103,Marian-glas,,Marian-glas
2104,Markham,,Markham
2105,Marloes,,Marloes
2106,Marros,,Marros
2107,Martletwy,,Martletwy
2108,Maryland,,Maryland
2109,"Mascle Bridge",,"Mascle Bridge"
2110,Mathern,,Mathern
2111,Mathri,,Mathri
2112,Mawdlam,,Mawdlam
2113,"May Hill",,"May Hill"
2114,Mayals,,Mayals
2115,Mayhill,,Mayhill
2116,Maypole,,Maypole
2117,Meidrim,,Meidrim
2118,Meifod,,Meifod
2119,Meisgyn,,Miskin
2120,"Melin Ifan Ddu",,Blackmill
2121,Melinau,,Melinau
2122,Melinbyrhedyn,,Melinbyrhedyn
2123,Melincaeach,,Melincaeach
2124,Melincryddan,,Melincryddan
2125,Melin-cwrt,,Melin-cwrt
2126,Melin-wynt,,Windmill
2127,Melin-y-coed,,Melin-y-coed
2128,Melin-y-wig,,Melin-y-wig
2129,Melltyn,,Mellington
2130,Merehead,,Merehead
2131,"Merlins Cross",,"Merlins Cross"
2132,Merthyr,,Merthyr
2133,"Merthyr Cynog",,"Merthyr Cynog"
2134,"Merthyr Dyfan",,"Merthyr Dyfan"
2135,"Merthyr Mawr",,"Merthyr Mawr"
2136,"Merthyr Tudful",,"Merthyr Tydfil"
2137,Mesur-y-dorth,,Mesur-y-dorth
2138,Middleton,,Middleton
2139,"Millin Cross",,"Millin Cross"
2140,Milo,,Milo
2141,Milwr,,Milwr
2142,Minffordd,,Minffordd
2143,Minffordd,,Minffordd
2144,Minllyn,,Minllyn
2145,Mochdre,,Mochdre
2146,Mochdre,,Mochdre
2147,"Moel Ddolwen",,"Moel Ddolwen"
2148,Moelfre,,Moelfre
2149,Moelfre,,Moelfre
2150,Moelfre,,Moelfre
2151,Moelyci,,Moelyci
2152,Moelycrio,,Moelycrio
2153,Monkton,,Monkton
2154,"Monmouth Cap",,"Monmouth Cap"
2155,Morfa,,Morfa
2156,Morfa,,Morfa
2157,Morfa,,Morfa
2158,"Morfa Bychan",,"Morfa Bychan"
2159,"Morfa Nefyn",,"Morfa Nefyn"
2160,Morfa-bach,,Morfa-bach
2161,Morfa-glas,,Morfa-glas
2162,Morgantown,,Morgantown
2163,Moriah,,Moriah
2164,Morristown,,Morristown
2165,Moss,,Moss
2166,Mostyn,,Mostyn
2167,"Y Mot",,"New Moat"
2168,Moulton,,Moulton
2169,"Mount Ballan",,"Mount Ballan"
2170,"Mount Pleasant",,"Mount Pleasant"
2171,"Mount Pleasant",,"Mount Pleasant"
2172,"Mount Sion",,"Mount Sion"
2173,"Mountain Hare",,"Mountain Hare"
2174,Mounton,,Mounton
2175,Murch,,Murch
2176,Murton,,Murton
2177,Musselwick,,Musselwick
2178,"Y Mwmbwls",,Mumbles
2179,Mwnt,,Mwnt
2180,Mwyndy,,Mwyndy
2181,Mwynglawdd,,Minera
2182,Myddfai,,Myddfai
2183,Myddynfych,,Myddynfych
2184,Mydroilyn,,Mydroilyn
2185,Mynachdy,,Mynachdy
2186,"Mynachlog Nedd",,"Neath Abbey"
2187,Mynachlog-ddu,,Mynachlog-ddu
2188,Mynwar,,Mynwear
2189,"Mynwent y Crynwyr",,"Quakers Yard"
2190,"Y Mynydd Bychan",,Heath
2191,"Mynydd Llandygái",,"Mynydd Llandygái"
2192,"Mynydd Mechell",,"Mynydd Mechell"
